pre,post,weight,delay,type
1_V_25_1,1_N_1_76,3,0,2
1_I_331_1,1_N_1_76,3,0,2
1_V_25_1,1_N_1_76,3,0,2
1_I_257_1,1_N_1_77,3,0,2
1_V_20_1,1_N_1_77,3,0,2
1_I_262_1,1_N_1_77,3,0,2
1_V_21_1,1_N_1_77,3,0,2
1_I_325_1,1_N_1_77,3,0,2
1_V_25_1,1_N_1_77,3,0,2
1_I_69_1,1_N_1_78,3,0,2
1_V_7_1,1_N_1_78,3,0,2
1_I_72_1,1_N_1_78,3,0,2
1_V_7_1,1_N_1_78,3,0,2
1_I_124_1,1_N_1_78,3,0,2
1_V_9_1,1_N_1_78,3,0,2
1_I_142_1,1_N_1_78,3,0,2
1_V_10_1,1_N_1_78,3,0,2
1_I_157_1,1_N_1_78,3,0,2
1_V_13_1,1_N_1_78,3,0,2
1_I_174_1,1_N_1_78,3,0,2
1_V_14_1,1_N_1_78,3,0,2
1_I_227_1,1_N_1_78,3,0,2
1_V_18_1,1_N_1_78,3,0,2
1_I_12_1,1_N_1_79,3,0,2
1_V_1_1,1_N_1_79,3,0,2
1_I_80_1,1_N_1_79,3,0,2
1_V_8_1,1_N_1_79,3,0,2
1_I_87_1,1_N_1_79,3,0,2
1_V_8_1,1_N_1_79,3,0,2
1_I_186_1,1_N_1_79,3,0,2
1_V_14_1,1_N_1_79,3,0,2
1_I_236_1,1_N_1_79,3,0,2
1_V_18_1,1_N_1_79,3,0,2
1_I_76_1,1_N_1_80,3,0,2
1_V_8_1,1_N_1_80,3,0,2
1_I_156_1,1_N_1_80,3,0,2
1_V_13_1,1_N_1_80,3,0,2
1_I_4_1,1_N_1_81,3,0,2
1_V_1_1,1_N_1_81,3,0,2
1_I_64_1,1_N_1_81,3,0,2
